Title,Author,Genre,Tags
fundamentals of wavelets,goswami jaideva,tech,tech goswami jaideva
data smart,foreman john,tech,tech foreman john
god created the integers,hawk stephen,tech,tech hawk stephen
superfreakonomics,dubner stephen,science,scienc dubner stephen
orientalism,said edward,nonfiction,nonfict said edward
nature of statistical learning theory  the,vapnik vladimir,tech,tech vapnik vladimir
integration of the indian states,menon v p,nonfiction,nonfict menon v p
drunkard s walk  the,mlodinow leonard,science,scienc mlodinow leonard
image processing   mathematical morphology,shih frank,tech,tech shih frank
how to think like sherlock holmes,konnikova maria,nonfiction,nonfict konnikova maria
data scientists at work,sebastian gutierrez,tech,tech sebastian gutierrez
slaughterhouse five,vonnegut kurt,fiction,fiction vonnegut kurt
birth of a theorem,villani cedric,science,scienc villani cedric
structure   interpretation of computer programs,sussman gerald,tech,tech sussman gerald
age of wrath  the,erali abraham,nonfiction,nonfict erali abraham
trial  the,kafka frank,fiction,fiction kafka frank
statistical decision theory ,pratt john,tech,tech pratt john
data mining handbook,nisbet robert,tech,tech nisbet robert
new machiavelli  the,well h g,fiction,fiction well h g
physics   philosophy,heisenberg werner,philosophy,philosophi heisenberg werner
making software,oram andi,tech,tech oram andi
analysis  vol i,tao terenc,tech,tech tao terenc
machine learning for hackers,conway drew,tech,tech conway drew
signal and the noise  the,silver nate,tech,tech silver nate
python for data analysis,mckinney we,tech,tech mckinney we
introduction to algorithms,cormen thoma,tech,tech cormen thoma
beautiful and the damned  the,deb siddhartha,nonfiction,nonfict deb siddhartha
outsider  the,camu albert,fiction,fiction camu albert
complete sherlock holmes  the   vol i,doyl arthur conan,fiction,fiction doyl arthur conan
complete sherlock holmes  the   vol ii,doyl arthur conan,fiction,fiction doyl arthur conan
wealth of nations  the,smith adam,science,scienc smith adam
pillars of the earth  the,follett ken,fiction,fiction follett ken
mein kampf,hitler adolf,nonfiction,nonfict hitler adolf
tao of physics  the,capra fritjof,science,scienc capra fritjof
surely you re joking mr feynman,feynman richard,science,scienc feynman richard
farewell to arms  a,hemingway ernest,fiction,fiction hemingway ernest
veteran  the,forsyth frederick,fiction,fiction forsyth frederick
false impressions,archer jefferi,fiction,fiction archer jefferi
last lecture  the,pausch randi,nonfiction,nonfict pausch randi
return of the primitive,rand ayn,philosophy,philosophi rand ayn
jurassic park,crichton michael,fiction,fiction crichton michael
russian journal  a,steinbeck john,nonfiction,nonfict steinbeck john
tales of mystery and imagination,poe edgar allen,fiction,fiction poe edgar allen
freakonomics,dubner stephen,science,scienc dubner stephen
hidden connections  the,capra fritjof,science,scienc capra fritjof
story of philosophy  the,durant,philosophy,philosophi durant
asami asami,deshpand p l,fiction,fiction deshpand p l
journal of a novel,steinbeck john,fiction,fiction steinbeck john
once there was a war,steinbeck john,nonfiction,nonfict steinbeck john
moon is down  the,steinbeck john,fiction,fiction steinbeck john
brethren  the,grisham john,fiction,fiction grisham john
in a free state,naipaul v,fiction,fiction naipaul v
catch   ,heller joseph,fiction,fiction heller joseph
complete mastermind  the,bbc,nonfiction,nonfict bbc
dylan on dylan,dylan bob,nonfiction,nonfict dylan bob
soft computing   intelligent systems,gupta madan,tech,tech gupta madan
textbook of economic theory,stonier alfr,tech,tech stonier alfr
econometric analysis,green w h,tech,tech green w h
learning opencv,bradski gari,tech,tech bradski gari
data structures using c   c  ,tanenbaum andrew,tech,tech tanenbaum andrew
computer vision  a modern approach,forsyth david,tech,tech forsyth david
principles of communication systems,taub schill,tech,tech taub schill
let us c,kanetkar yashwant,tech,tech kanetkar yashwant
amulet of samarkand  the,stroud jonathan,fiction,fiction stroud jonathan
